Name,Height_cm,Weight_kg,Meal_Plan,Foods
John,175,70,Normal weight,"Chicken breast, quinoa, apple, spinach, avocado, blueberries, broccoli, almonds, carrots, salmon"
Alice,160,55,Normal weight,"Salmon, brown rice, banana, kale, olive oil, strawberries, sweet potatoes, oats, pineapple, almonds"
Mike,180,85,Overweight,"Turkey breast, whole wheat bread, orange, broccoli, almond butter, mango, couscous, grapefruit, cauliflower, cashews"
Emma,165,60,Normal weight,"Tofu, barley, pear, carrots, coconut oil, kiwi, bell peppers, cucumber, oats, chicken thigh"
Chris,185,90,Overweight,"Lean beef, couscous, grapefruit, cauliflower, avocado, chicken breast, quinoa, apple, spinach, almonds"
Lisa,155,50,Underweight,"Egg whites, oats, berries, cucumber, hummus, blueberries, bananas, strawberries, spinach, almond butter"
Ryan,170,75,Overweight,"Pork loin, sweet potatoes, pineapple, green beans, cashews, turkey thigh, brown rice, mango, zucchini, avocado"
Diana,168,65,Normal weight,"Chicken thigh, quinoa, blueberries, bell peppers, olive oil, salmon, whole wheat bread, apple, kale, almond butter"
Matthew,177,78,Overweight,"Turkey thigh, whole wheat pasta, strawberries, zucchini, almond butter, lean beef, couscous, grapefruit, cauliflower, avocado"
Emily,163,57,Normal weight,"Tofu, brown rice, kiwi, asparagus, coconut oil, salmon, oats, banana, kale, almond butter"
David,190,95,Overweight,"Lean beef, barley, mango, broccoli, avocado, turkey breast, whole wheat bread, orange, spinach, almonds"
Jennifer,150,45,Underweight,"Egg whites, quinoa, raspberries, carrots, hummus, salmon, brown rice, banana, kale, olive oil"
Steven,172,72,Normal weight,"Chicken breast, whole wheat bread, orange, spinach, olive oil, tofu, barley, pear, carrots, coconut oil"
Jessica,158,52,Underweight,"Salmon, oats, apple, kale, almond butter, turkey breast, quinoa, apple, spinach, almonds"
Daniel,179,82,Overweight,"Turkey breast, quinoa, banana, broccoli, cashews, lean beef, couscous, grapefruit, cauliflower, avocado"
Melissa,162,58,Normal weight,"Tofu, brown rice, pear, bell peppers, coconut oil, salmon, whole wheat pasta, strawberries, zucchini, almond butter"
Kevin,183,88,Overweight,"Lean beef, whole wheat pasta, pineapple, cauliflower, avocado, turkey thigh, oats, mango, zucchini, cashews"
Alexa,156,53,Underweight,"Egg whites, barley, berries, cucumber, hummus, pork loin, sweet potatoes, pineapple, green beans, cashews"
